The center positions (in nm) in each chromosome of the 30kb segments comprising region chr21:28Mb-30Mb in IMR90 cells 
Chromosome index,Segment index,Z,X,Y
1,1,3090,135130,50097
1,2,3096,135094,50393
1,3,3216,135329,49882
1,4,3209,135166,50006
1,5,3153,135046,50028
1,6,3285,134862,49955
1,7,3107,135085,50209
1,8,3190,135064,50284
1,9,3181,135188,50104
1,10,3266,134963,50055
1,11,3127,135161,50009
1,12,3134,135079,49926
1,13,2893,135283,50204
1,14,3394,134896,50027
1,15,3281,134996,50027
1,16,3058,135220,50153
1,17,3152,134816,49945
1,18,3199,134939,50020
1,19,3193,134990,50021
1,20,3523,135026,49960
1,21,3029,135231,50031
1,22,3607,134973,49944
1,23,3188,134905,50178
1,24,3266,134947,50129
1,25,3342,134956,49949
1,26,3116,135012,50033
1,27,3209,135215,50161
1,28,3002,135169,50112
1,29,3153,135318,50156
1,30,3037,135289,50190
1,31,3053,135120,50408
1,32,3002,135125,50392
1,33,3007,135051,50476
1,34,3098,135005,50478
1,35,3128,135089,50679
1,36,2925,135148,50711
1,37,3038,134995,50653
1,38,2800,135585,50171
1,39,3025,135056,50596
1,40,3194,135001,50620
1,41,3201,135219,50542
1,42,3243,135195,50752
1,43,3272,134881,50783
1,44,3192,134980,50711
1,45,3321,135031,50624
1,46,3044,135198,50741
1,47,3003,135180,50715
1,48,2945,135313,50738
1,49,2908,135642,50626
1,50,2636,135283,49986
1,51,2780,135442,50941
1,52,3049,135764,50614
1,53,2823,135341,50698
1,54,nan,nan,nan
1,55,2849,135409,50754
1,56,3026,135542,50590
1,57,2726,134991,50830
1,58,2765,134901,50376
1,59,2769,134790,50336
1,60,2610,134361,49837
1,61,2591,135027,50738
1,62,2705,135252,50717
1,63,2505,135589,51027
1,64,2789,135600,50770
1,65,nan,nan,nan
