The center positions (in nm) in each chromosome of the 30kb segments comprising region chr21:28Mb-30Mb in A549 cells 
Chromosome index,Segment index,Z,X,Y
1,1,1797,73152,6517
1,2,1709,73113,6643
1,3,1494,73488,6191
1,4,1787,73590,6754
1,5,1677,73235,6561
1,6,1755,73262,6644
1,7,1819,73393,6470
1,8,1734,73307,6500
1,9,1691,73256,6525
1,10,1619,73354,6586
1,11,1734,73321,6620
1,12,1662,73414,6589
1,13,1684,73419,6557
1,14,1807,73700,6557
1,15,1704,73643,6664
1,16,1786,73555,6563
1,17,1697,73537,6604
1,18,1650,73512,6591
1,19,1655,73366,6532
1,20,1760,73923,6792
1,21,1587,73615,6447
1,22,1964,73822,6880
1,23,1782,73732,6770
1,24,1706,73699,6733
1,25,1403,73343,7169
1,26,1732,73511,6651
1,27,1714,73756,6816
1,28,1380,73254,7071
1,29,1694,73656,6801
1,30,1775,73666,6788
1,31,1835,73650,6698
1,32,1922,73659,6604
1,33,1889,73616,6555
1,34,1915,73659,6470
1,35,1864,73561,6508
1,36,1961,73585,6478
1,37,1605,73684,6360
1,38,1778,73800,6147
1,39,1763,73835,6073
1,40,1705,73537,6234
1,41,1771,73738,6151
1,42,1827,73735,6157
1,43,1790,73782,6181
1,44,1880,73732,6257
1,45,1922,73599,6178
1,46,1776,73628,6169
1,47,1861,73674,6300
1,48,1684,73498,6165
1,49,1730,73513,6130
1,50,1712,73514,6046
1,51,1635,73424,6135
1,52,nan,nan,nan
1,53,1678,73148,5269
1,54,2039,72491,5355
1,55,nan,nan,nan
1,56,nan,nan,nan
1,57,nan,nan,nan
1,58,nan,nan,nan
1,59,nan,nan,nan
1,60,nan,nan,nan
1,61,nan,nan,nan
1,62,nan,nan,nan
1,63,nan,nan,nan
1,64,nan,nan,nan
1,65,nan,nan,nan
